层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
env,average,输入,env_1_Design/Relay/InPort/U_Ch18_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch19_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch19_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch20_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch20_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch21_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch21_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch22_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch22_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch23_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch23_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch24_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch24_Relay_OutValue,0,0,0,,{0},否
