层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output7.U_Ch7_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output7.U_Ch7_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output8.U_Ch8_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output8.U_Ch8_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output8.U_Ch8_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output8.U_Ch8_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output9.U_Ch9_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output9.U_Ch9_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output9.U_Ch9_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output9.U_Ch9_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay10.BrakeClose1_Out,0,2,2,"26.311, 29.911","{0, 2}",否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay11.BrakeClose2_Out,0,2,2,"26.311, 29.911","{0, 2}",否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay12.BrakeOpen2_Out,0,2,2,"26.311, 29.911","{0, 2}",否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay25.Model_Disabled_Out,1,2,1,26.511,"{1, 2}",否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay4.GearR_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay5.GearN_Out,2,2,0,,{2},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay6.GearD_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay7.GearP_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay8.DriveMode_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Relay.Relay9.BrakeOpen1_Out,0,2,2,"26.311, 29.911","{0, 2}",否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output1.BRK_Main_Out,1,4,2,"26.311, 29.911","{1, 4}",是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output1.BRK_Main_Enable_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output1 .PUMP_Out,0,0,0,,{0},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output1 .PUMP_Enable_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output4.Btemp_Out,0,0,0,,{0},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output4.Btemp_Enable_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output5.BRK_Auxi_Out,0.5,2,2,"26.311, 29.911","{0.5, 2}",是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output5.BRK_Auxi_Enable_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output7.ACC_Main_Out_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output7.ACC_Main_Enable_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output8.ACC_Auxi_Out_Out,0.5,0.5,0,,{0.5},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Voltage Output.Voltage Output8.ACC_Auxi_Enable_Out,1,1,0,,{1},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_AverageTemp_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_ChargingTime_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_ChgConnectSts_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_Faultcode_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_OutputCurr_ToBus,0,0,0,,{0},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_OutputVoltage_ToBus,0,0,0,,{0},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_PDUSts_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_WorkingMode_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.NTC_AverageTemp_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_CANError_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_Derating_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_InputCurrent_ToBus,0,0,0,,{0},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_InputVoltage_ToBus,0,0,0,,{0},是
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OperatingMode_ToBus,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OuputOpencircuit_ToBus,0,0,0,,{0},否
