输出接口,最小值,最大值,总变化次数,注入后窗口内变化次数,窗口内变化时刻_s,取值摘要
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output1.U_Ch1_PWM_Out_Duty_Ratio_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output1.U_Ch1_PWM_Out_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output1.U_Ch1_PWM_Out_Frequency_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Amplitude_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Duty_Ratio_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Frequency_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Amplitude_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Duty_Ratio_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Frequency_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output4.U_Ch4_PWM_Out_Amplitude_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output4.U_Ch4_PWM_Out_Duty_Ratio_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output4.U_Ch4_PWM_Out_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output4.U_Ch4_PWM_Out_Frequency_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output5.U_Ch5_PWM_Out_Amplitude_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output5.U_Ch5_PWM_Out_Duty_Ratio_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output5.U_Ch5_PWM_Out_Enable_Out,1,1,0,0,,{1}
